VPRAŠANJE,Ajdovščina,Ankaran,Apače,Beltinci,Benedikt,Bistrica ob Sotli,Bled,Bloke,Bohinj,Borovnica,Bovec,Braslovče,Brda,Brezovica,Brežice,Cankova,Celje,Cerklje na Gorenjskem,Cerknica,Cerkno,Cerkvenjak,Cirkulane,Črenšovci,Črna na Koroškem,Črnomelj,Destrnik,Divača,Dobje,Dobrepolje,Dobrna,Dobrova - Polhov Gradec,Dobrovnik,Dol pri Ljubljani,Dolenjske Toplice,Domžale,Dornava,Dravograd,Duplek,Gorenja vas - Poljane,Gorišnica,Gorje,Gornja Radgona,Gornji Grad,Gornji Petrovci,Grad,Grosuplje,Hajdina,Hoče - Slivnica,Hodoš,Horjul,Hrastnik,Hrpelje - Kozina,Idrija,Ig,Ilirska Bistrica,Ivančna Gorica,Izola,Jesenice,Jezersko,Juršinci,Kamnik,Kanal,Kidričevo,Kobarid,Kobilje,Kočevje,Komen,Komenda,Koper,Kostanjevica na Krki,Kostel ,Kozje ,Kranj ,Kranjska Gora ,Križevci ,Krško ,Kungota ,Kuzma ,Laško ,Lenart,Lendava,Litija ,Ljubljana ,Ljubno ,Ljutomer ,Log - Dragomer ,Logatec ,Loška dolina ,Loški Potok ,Lovrenc na Pohorju ,Luče ,Lukovica ,Majšperk ,Makole ,Maribor,Markovci ,Medvode ,Mengeš ,Metlika ,Mežica ,Miklavž na Dravskem polju ,Miren - Kostanjevica ,Mirna ,Mirna Peč ,Mislinja,Mokronog - Trebelno ,Moravče ,Moravske Toplice ,Mozirje ,Murska Sobota ,Muta ,Naklo ,Nazarje ,Nova Gorica ,Novo mesto,Odranci ,Oplotnica ,Ormož ,Osilnica ,Pesnica ,Piran ,Pivka ,Podčetrtek ,Podlehnik ,Podvelka ,Poljčane ,Polzela ,Postojna ,Prebold ,Preddvor,Prevalje ,Ptuj ,Puconci ,Rače - Fram ,Radeče ,Radenci ,Radlje ob Dravi ,Radovljica ,Ravne na Koroškem ,Razkrižje ,Rečica ob Savinji ,Renče - Vogrsko ,Ribnica ,Ribnica na Pohorju ,Rogaška Slatina,Rogašovci ,Rogatec ,Ruše ,Selnica ob Dravi ,Semič ,Sevnica ,Sežana ,Slovenj Gradec ,Slovenska Bistrica ,Slovenske Konjice,Sodražica ,Solčava ,Središče ob Dravi ,Starše ,Straža ,Sveta Ana ,Sveta Trojica v Slovenskih goricah ,Sveti Andraž v Slovenskih goricah ,Sveti Jurij ob Ščavnici ,Sveti Jurij v Slovenskih goricah ,Sveti Tomaž ,Šalovci ,Šempeter - Vrtojba ,Šenčur,Šentilj,Šentjernej ,Šentjur ,Šentrupert ,Škocjan ,Škofja Loka ,Škofljica ,Šmarje pri Jelšah ,Šmarješke Toplice ,Šmartno pri Litiji ,Šmartno ob Paki ,Šoštanj ,Štore ,Tabor ,Tišina ,Tolmin,Trbovlje ,Trebnje ,Trnovska vas ,Trzin ,Tržič,Turnišče,Velenje,Velika Polana,Velike Lašče,Veržej,Videm,Vipava,Vitanje,Vodice,Vojnik,Vransko ,Vrhnika ,Vuzenica ,Zagorje ob Savi ,Zavrč ,Zreče,Žalec ,Železniki ,Žetale ,Žiri ,Žirovnica,Žužemberk
Je proračun javno in samostojno objavljen na spletni strani?,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,-1,-1,0.5,0.5,0.5,0.5,-1,-1,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,-1,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,-1,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,-1,0.5,-1,0.5,0.5,0.5,0.5,-1,0.5,0.5,-1,-1,0.5,0.5,0.5,-1,0,0.5,0.5,0.5,0.5,0,0.5,0.5,-1,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,-1,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0,0.5,0.5,-1,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,-1,0.5,0.5,0,0.5,0.5,-1,0,0.5,0.5,-1,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,-1,-1,0.5,0,0,0.5,0.5,0.5,0.5,-1,0.5,-1,0.5,0.5,-1,-1,0.5,0.5,0.5
Ali obstajajo kakšni poizkusi narediti proračun bolj transparenten / razumljiv občanom?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ali obstaja kak search bo proračunu (recimo, če vpišem v search postavko iz budgeta, jo dobim ven?)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ali obstaja kakšen poizkus, da bi bila poraba javnega denarja prikazana bolj transparentno",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOSTOPNOST SPLETNEGA MESTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali ima občina objavljeno izjavo o dostopnosti spletnega mesta?,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0
"Ali spletna stran uporablja headinge v kodi (H1, H2)?",0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0
Ali imajo slike alt tag v kodi?,0,2,2,2,2,0,2,0,2,2,2,2,0,0,0,2,0,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,0,2,2,0,2,2,0,0,2,0,2,2,2,2,2,2,2,2,0,0,2,2,0,0,0,2,2,0,2,2,0,2,0,2,0,0,0,0,0,2,0,2,0,2,2,2,2,2,2,2,2,2,2,0,0,2,0,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,0,0,2,2,2,2,0,0,0,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,0,2,2,0,2,2,2,2,0,0,0,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,0,2,0,2,2,0,2,2,0,0,0,2,2,0,2,0,2,2,0,2,2,0,2,0,2,2,0,2,0,2,0,2,2,0,2,2,2,0,0
Ali so nekateri teksti v slikah?,2,2,2,2,0,2,2,0,2,2,0,0,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,0,2,2,0,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,0,2,2,2,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,0,0,2,2,0,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2
Ali je kontrast med barvo teksta in ozadjem vsaj 4.5:1? ,0,2,2,0,2,0,2,0,0,2,0,2,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,2,0,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,0,0,2,0,2,0,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,2,2,2,2,2,2,2,0,0,2,0,2,0,0,0,2,2,2,0,0,2,0,2,0,0,2,2,2,0,2,2,0,0,0,2,0,0,0,2,0,0,2,0,2,2,2,0,2,2,2,2,0,0,2,0,0,0,0,2,2,2,0,2,2,0,0,0,2,0,0,2,0,0,0,0,2,0,2,0,0,2,0,2,0,2,2,2,0,0,0,2,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0
Ali je kontrast linkov in gumbov ter ozadjem vsaj 3:1?,0,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,2,0,2,2,0,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,0,2,2,0,0,2,2,0,2,2,0,2,2,2,2,0,2,2,2,2,0,0,2,0,2,0,2,2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,2,2,0,0,2,0,2,0,0,2,2,2,2,2,2,2,2,0,0,0,2,0,0,2,2,2,2,2,2,2,0,0,0,2,2,0,2,0,2,2,0,0,0,0,2,2,2,2,0,2,0,2,2,2,2,0,0,2,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,0,0,0,2,2,0,0,2,2,2,0
"Ali je spletna stran berljiva, če jo povečamo na 200 %?",0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,0,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,0,2,2,2,2,0,2,2,0,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2
"Ali spletno mesto omogoča navigacijo s tipkovnico? (puščice, presledek, tab, enter, esc) ",0,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,0,0,2,2,2,0,2,2,0,2,2,2,0,0,0,2,2,2,2,0,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,0,2,2,0,0,0,0,2,0,0,0,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,0,2,2,0,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0,2,0,2,2,0,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,0,0,2,2,0,0,2,0,0,0,0,0,2,2,2,2,2,0,2,2,0,2,2,0,2,2,0,2,0,2,2,0,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,0,0,2,2,2,0,0,2,0,2
Ali naslov strani opiše vsebino? ,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
Ali ima link pomensko jasno ime?,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ali ima dokument pomensko jasno ime? (ne dokument 4ADB, ampak Zapisnik 3. seje)",1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1
Ali se spustni meniji odprejo s klikom (in odklikom) oziroma ali spletno mesto nima spustnega menija?,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Ali je vabilo/informacija o seji občinskega ali mestnega sveta objavljena tudi offline? Kje?,0.25,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,0.25,0.25,NAPAKA,NAPAKA,0.25,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,0.25,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,0.25,NAPAKA,NAPAKA,NAPAKA,NAPAKA,0.25,NAPAKA,NAPAKA,0.25,NAPAKA,NAPAKA,NAPAKA,0.25,NAPAKA,NAPAKA,0.5,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,1,0.25,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,0.25,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,0.5,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,0.25,NAPAKA,NAPAKA,0.25,NAPAKA,NAPAKA,0.25,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,0.25,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,0.25,NAPAKA,0.25,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,0.25,NAPAKA
"Ali je oglasna deska dostopna motorično oviranim osebam? (To pomeni, da je dostopna brez stopnic ali z dvigalom, ki je primerno za motorično ovirane osebe)",1,1,1,NAPAKA,NAPAKA,1,NAPAKA,NAPAKA,1,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,0,NAPAKA,1,1,NAPAKA,1,0,NAPAKA,NAPAKA,NAPAKA,0,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,1,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,1,1,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,1,1,NAPAKA,1,NAPAKA,1,NAPAKA,NAPAKA,1,NAPAKA,NAPAKA,NAPAKA,0,NAPAKA,NAPAKA,1,NAPAKA,NAPAKA,NAPAKA,1,NAPAKA,NAPAKA,1,1,NAPAKA,NAPAKA,NAPAKA,NAPAKA,0,NAPAKA,NAPAKA,0,NAPAKA,NAPAKA,1,NAPAKA,1,NAPAKA,NAPAKA,NAPAKA,1,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,1,NAPAKA,NAPAKA,1,NAPAKA,1,NAPAKA,NAPAKA,NAPAKA,0,NAPAKA,1,NAPAKA,NAPAKA,NAPAKA,NAPAKA,1,NAPAKA,1,1,NAPAKA,NAPAKA,0,NAPAKA,NAPAKA,NAPAKA,1,NAPAKA,NAPAKA,NAPAKA,1,NAPAKA,NAPAKA,0,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,1,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,0,1,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,1,NAPAKA,1,NAPAKA,NAPAKA,NAPAKA,1,NAPAKA,NAPAKA,1,1,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,NAPAKA,1,NAPAKA
VKLJUČENOST IN OBVEŠČANJE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VKLJUČENOST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali občina izvaja participativni proračun?,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali ga izvaja na spletu?,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
